iter	Passed	Remaining
0	59	5925
1	61	2989
2	62	2007
3	63	1514
4	64	1218
5	65	1020
6	66	880
7	67	774
8	68	688
9	69	622
10	70	567
11	71	522
12	72	485
13	73	452
14	74	424
15	76	399
16	77	377
17	78	356
18	79	338
19	80	321
20	81	305
21	82	292
22	83	279
23	84	267
24	85	256
25	86	247
26	88	238
27	89	229
28	90	221
29	91	213
30	92	205
31	93	198
32	94	191
33	95	184
34	95	178
35	96	172
36	97	166
37	98	161
38	100	156
39	101	152
40	102	147
41	103	142
42	104	138
43	105	134
44	106	129
45	107	126
46	108	122
47	109	118
48	110	115
49	111	111
50	112	108
51	113	104
52	114	101
53	115	98
54	116	95
55	118	92
56	119	89
57	119	86
58	120	83
59	121	81
60	122	78
61	123	75
62	124	73
63	125	70
64	126	68
65	127	65
66	128	63
67	129	60
68	130	58
69	131	56
70	132	54
71	133	52
72	134	49
73	135	47
74	137	45
75	138	43
76	139	41
77	140	39
78	141	37
79	143	35
80	145	34
81	146	32
82	147	30
83	148	28
84	149	26
85	150	24
86	151	22
87	152	20
88	153	19
89	154	17
90	156	15
91	157	13
92	158	11
93	159	10
94	160	8
95	161	6
96	162	5
97	163	3
98	164	1
99	165	0
