iter	Passed	Remaining
0	0	69
1	1	50
2	1	44
3	1	40
4	2	38
5	2	36
6	2	35
7	3	34
8	3	33
9	3	32
10	3	31
11	4	31
12	4	30
13	4	30
14	5	29
15	5	29
16	5	28
17	6	28
18	6	27
19	6	27
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	23
32	11	22
33	11	22
34	12	22
35	12	21
36	12	21
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	15	19
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	26	6
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	28	5
85	29	4
86	29	4
87	29	4
88	29	3
89	30	3
90	30	3
91	30	2
92	31	2
93	31	2
94	31	1
95	31	1
96	32	0
97	32	0
98	32	0
99	33	0
